,hasil
2074, btw pengen tau alesan kurang setuju pindah ibu kota kenapa y 
2075,jokowi bantah ibu kota resmi pindah ke kalimantan timur 
2076,utang tembus rp t ketimbang pindah ibu kota lebih baik jokowi bayar utang
2077,belum ada keputusan presiden jokowi soal pindah ibu kota masih menunggu satu dua kajian 
2078,jika ibu kota pindah dari jaka a masih ada pak anis jadi pemimpin di jaka a yg menjaga jaka a dari perampok tanah jaka a mantap pak anis jaya selalu
2079,oit orang indonesia ikutan ribut soal kebakaran hutan di brazil neng itu tengok dulu hutan di kalimantan teuing sih tapi sepertinya kalo yg di kalimantan bukan kebakaran hutan tapi pembakaran hutan kan ada yang kekeuh pengen pindah ibu kota tea
2080,can gkemu cow you she lead phi thick 
2081,akhir akhir ini gue di cengin anak kabupaten gara gara ibu kota pindah apaansi ajg
2082,ibu kota pindah ke kaltim jokowi bilang masih tunggu dua kajian 
2083,ibu kota pindah ke kaltim jokowi bilang masih tunggu dua kajian 
2084,jokowi wacanakan pindah ibu kota anak buah prabowo kita akan lawan habis th 
2085, ibu kota pindah kaskus uas menghina agama rasisme di indonesia saat hut kemerdekaan pencemar lingkungan hukum hak kurang adil 
2086,memang seharusnya begitu ekonomi menjadi perioritas salah satu cara yang bisa ditempuh adalah memperbaiki lembaga lembaga pendidikan agar ia tidak ngawur dalam membuat kebijakan kebijakan yang seharusnya lulus tidak lulus yang tidak seharusnya 
2087,joko widodo bantah ibu kota akan pindah ke kalimantan timur ini yang harus diwaspadai pemerintah via 
2088,apa alasan pindah ibu kota negara bosen di demo 
2089,ibu kota pindah ke kaltim anies perekonomian jakarta jalan terus 
2090,ada kesan bahwa pemindahan ibu kota dipaksakan setidaknya dilihat dari aspek substansialnya tapi secara politis ini seperti menyelam sambil minum air artinya pemindahan ibu kota secara politis akan sangat strategis khususnya sebagai pengalihan isu 
2091, papua bergejolak pindah ibu kota ceramah uas yg lagi trending 
2092,mau pindah ibu kota bpjs esemka ekonomi aja dulu diperbaiki klo sudah stabil mau pindah ke cina pun kgak jadi masalah mungkin aja bisa sekalian mau nuntut ilmu ke negeri cina 
2093, iya sih tapi seenggaknya ngurangin populasi jkt dew ancur bgt tuh jkt lagian bagus juga ibu kota pindah orang kalo mau demo susah ongkos mahal jadi mungkin situasi akan lebih kondusif demonya jadi menyebar wkwkwk jkt pun tidak macet 
2094,sah ibu kota pindah ke kaltim ha lahan disiapkan 
2095, urjennya apa pindah ibu kota nutupi kegagalan dgn bikin ide asal jeplak 
2096, kenapa ibu kota hrs pindah mungkin saja di jkt sdh terlalu banyak sarang tikus berdasi 
2097, mereka terpinggirkan karena berita pindah ibu kota dan mobil baru
2098, saya setuju pindah ibu kota tapi tidak yakin presiden jokowi mampu melaksanakannya 
2099, beginilah faktanya siapa yg harus di percaya presiden joko widodo membantah menteri agraria dan tata ruang sofyan djalil yang menyebut ibu kota akan pindah ke kalimantan timur bantah menteri atr jokowi sebut lokasi ibu kota baru masih tunggu kajian 
2100,semua orang juga tau pemindahan ibu kota itu tdk baik dan mengurangi solusi hanya para pemegang kepentinganlah ibu kota pindah d anggap baik 
2101,pindah ibu kota jakarta tinggal kenangan 
2102, ketua persatuan insinyur indonesia pii heru dewanto menyampaikan agar ibu kota baru bisa menjadi cerminan masa depan indonesia 
2103, selak pindah ibu kota e lek wes acarane kabari ayas kadit ulem soale
2104,ketua persatuan insinyur indonesia pii heru dewanto menyampaikan agar ibu kota baru bisa menjadi cerminan masa depan indonesia 
2105,di tengah isu pindah ibu kota indonesia harus jadi negara berdaulat the post 
2106, di cebongland malah udah bikin referendum keknya sepakat pindah ibu kota kalo ga ada revisi 
2107,hidayat nur wahid mau pindah ibu kota selesaikan dulu payung hukum 
2108,ketua persatuan insinyur indonesia pii heru dewanto menyampaikan agar ibu kota baru bisa menjadi cerminan masa depan indonesia 
2109,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2110,siap beli tanah di kalimatan ibu kota pindah kerjaan juga pindah _ 
2111,menteri atr sebut ibu kota baru pindah ke kalimantan timur presiden jokowi masih nunggu kajian via 
2112,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2113,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2114,kajiannya payung hukumnya udah ada lom pindah ibu kota di kira kaya pindah kos an kali yah 
2115, ibu kota pindah ke kalimantan ga akan jauh sosmed sebentar lagi di ramaikan dengan emang keren pemerintah teh kalimantan beak ibu kota pindah ka parongpong lembang
2116, gada kerjaan mindahin ibu kota segala kerjaan banyak belum terselesaikan salah satunya papua ngurus pindah ibu kota papua lepas yo ngga lucu lah 
2117, paling ujungnya minta maaf dan masalah kelar bisa di eksekusi ga sih gedek lihatnya menghina islam viralkan ketangkep minta maaf masalah kelar di pulau lain ada lagi gitu aja terus sampai ibu kota pindah ke kalimantan
2118,ibu kota pindah anies pastikan perekonomian jakarta berjalan aman 
2119,ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2120,skrng kalo di tanya orang a asal dari mana mas b dari jakarta mas a ooo dari kampung efek dari ibu kota pindah 
2121, ktp w skrg statusnya jadi dongyaa bearti dulu pas thn ktp jakarta eh lanjut kuliah dsni akhirnya bikin surat pindah dan otomatis jd warga sini dan ternyata ibu kota ikutan pindah lagi dong wkwk mau sedih apa seneng nih 
2122,presiden jokowi belum ada keputusan soal pindah ibu kota masih menunggu satu dua kajian 
2123, pembahasanku bkn terfokus ke malaysia tp hutang negara yg ga logis dinalar sehat sebab bnyk potensi alam di negeri ini pindah ibu kota mending benahi ekonomi membasmi koruptor ketimbang benahi ibu kota yg makan bnyk biaya 
2124,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2125,esemka ngibul pindah ibu kota asbun 
2126,pindah ibu kota pengamat aspek lingkungan penting 
2127,ibu kota pindah ke kalimantan bagaimana kesiapan jaringan telkomsel warta ekonomi 
2128, kenapa tidak pindah ke bejing 
2129,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2130,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2131, ibu kota pindah ke kalimantan kenapa gak ke beijing 
2132, banyak tingkah nich joko utang ke ln bayarin bumn bangkrut urusin konflikpapua beresin urgency nya apa harus pindah ibu kota 
2133,presiden joko widodo membantah menteri agraria dan tata ruang sofyan djalil yang menyebut ibu kota akan pindah ke kaltim jokowi menegaskan bahwa pemerintah belum menentukan provinsi yang akan menjadi ibu kota baru karena masih ada kajian yg belum komplet 
2134,kalo beneran pindah kecamatan w jadi ibu kota dongs mantep gak tuh 
2135, hahahy biar ga ada berita pindah ibu kota seliweran kali ya 
2136,ibu kota pindah pulau anak sekolah biasanya piknik ke ibukota sangu study tour bakal nambah opo ben ga dikunjungi ya 
2137, hore hore ibu kota pindah 
2138, pantesan ibu kota mau pindah
2139,ibu kota pindah ke kaltim jokowi masih tunggu kajian news 
2140,ibu kota pindah jokowi tak patuhi undang undang 
2141, palingan ketutup sm berita pindah ibu kota ormas petahana mana mungkin di usut 
2142, ibu kota pindah anies pastikan perekonomian jakarta berjalan aman 
2143,kalo nanti ibu kota sudah pindah bahasa gawl di sinetron dan tv yang sekarang gue lu gue lu jadi ikam ulun pian katanya munyak akan tersebar dimana kali ya
2144, pindah ibu kota itu bukan alasan jakarta macet atau banjir selama ini pusat indrustri hanya ada di jakarta saja kalau ibu kota pindah ke kota lain otomatis kota tersebut akan jadi pusat indrustri juga 
2145,kok ada pejabat yg gumumkan lbh dahulu kan lbh baik dr swgi etika biar yg mengumumkan ngak elok 
2146,ibu kota pindah anies ekonomi jakarta jalan terus 
2147, soal pindah ibu kota selesaikan dulu payung hukum cnn indonesia 
2148,ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2149,ini masih negara kita kan negara yg katanya ingin rakyatnya sejahtera dan jauh dari kata sengsara kenapa mesti pindah ibu kota tak sadarkah kita akan menggeser para satwa kenapa tak bangun sekolah dan rumah sakit saja di tiap desa sehingga lebih terasa 
2150,ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2151,kebutuhan lahan ibu kota baru untuk tahap pertama yakni tanah seluas hektare 
2152, banyak utang belagu suruh kost aja belum tentu bisa bayar mau pindah ibu kota ibu kost aja ga mampu bayar hehehehe
2153,heeedeeuh kemaren treak jalan tol bisa meningkatkan per ekonomian nyatanya nol besar sekarang ibu kota mau di pindah dengan target yg sama per ekonomian apa gak sekalian aja negaranya di pindah 
2154,fadli zon soal ibu kota pindah ke kaltim harusnya referendum dulu 
2155, pindah ibu kota tidak segampang pindah hati ke orang baru deeeek 
2156,jangan sampai ada rusuh di papua terutama di jayapura damailah negeriku di tengah persoalan yang rumit ini jangan sampai ibu kota negara telah pindah satu menit setelah pukul wib
2157,ibu kota pindah ke kalimantan yg pasti penjahatnya pindah terorisnya pindah tukang demonya pindah org dari jawa sana yg sotak ekonomi agama politik jg pindah persiapkanlah mental 
2158, iya tadz ibu kota dipindahkan itu harus dilakukan dikala kondisi indonesia lagi baik terutama dalam sisi pertumbuhan ekonomi genjot dulu pendapatan kurangi hutang ini isu pindah ibu kota di ramekan sensasi mana lagi yg akan kau bawakan setelah esemka pa pres
2159, iya sih kalo dilihat dari itu semoga aja semua asn kementerian dan lembaga pemerintah mau pada pindah kerjanya ke ibu kota yg baru 
2160,setelah ibu kota pindah ke kalimantan timur orang utan akan berganti status jadi orang kota 
2161, ibu kota pindah ke kalimantan kenapa gak ke beijing 
2162, ibu kota pindah ke kalimantan kenapa gak ke beijing 
2163,jaka a presiden joko widodo membantah menteri agraria dan tata ruang sofyan djalil yang menyebut ibu kota akan pindah ke kalimantan timur jokowi menegaskan bahwa pemerintah belum menentukan provinsi 
2164, kaya punya duit aje mau pindah ibu kota yg harus nya di prioritasin itu pertumbuhan ekonomi dan pasilitas kesehatan 
2165,sebenernya aku tuh yo gak setuju ibu kota pindah kayak bakal ribet aja gitu karena semuanya udah terpusat di jakarta kalau kamu gimana gaes 
2166,ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2167,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2168,bacot santuy malam jumat kamis ambyar minta maaf kalah moncer ibu kota di pindah ini apa yak bisa nyambung gtu 
2169,ide liar kalau ibu kota indonesia jadi pindah coba iseng adakan sayembara urban city planning pakai gim cities skyline itu pernah dilakukan sama hämeenlinna finlandia pada 
2170, karena membangun ibu kota baru gak mudah lagipula jakarta baik saja kenapa wacana mau pindah ibu kota 
2171, ibu kota pindah ke papua
2172,gubernur dki anies baswedan mengaku jakarta telah siap jika ibu kota pindah 
2173,kebutuhan lahan ibu kota baru untuk tahap pertama yakni tanah seluas hektare 
2174, kmrn kaya nya berseliweran judul berita di tl sah ibu kota pindah kalimantan 
2175, ajaib ibu kota mending pindah ke papua mengikuti isu papua 
2176, kenapa sih ngeributin ibu kota mau pindah kta hrs percya apa yg d lkukn pemerintah bik pindah or ttp sdh mlalui kajian dn perhitungan jngn sampi kita sok tau pdhl kita bukn ahlinya srahkn lah sgla sesuatu pd ahliny jngn bsa nyiyir dn mnjlk in 
2177, ahirnya pindah juga malu kalau punya ibu kota macam posko pengungsi semrawut jorok polusi juga 
2178,makin menggelikan wajar bila rakyat tak percaya dengan rencana pindah ibukota bantah menteri atr jokowi sebut lokasi ibu kota baru masih tunggu kajian 
2179, mau pindah ibu kota krn alasanx karna klo ada tamu dari ln cm ke balai kota bkn ke istana negara di sangaka balai kota istana negarax kale gubenrnur rasa presiden 
2180,berita terpopuler detikfinance kamis adalah ibu kota baru indonesia pindah ke kalimantan timur kaltim dan desain ibu kota baru terungkap 
2181,ibu kota negara pindah ke kaltim lebih tepatnya di kawasan muso salim 
2182, welcome home persiapan pindah ibu kota di bandara internasional sepinggan balikpapan 
2183,ibu kota pindah kemana sih sayang bgt ktp aku pindah wkakakka
2184, utang tembus rp t ketimbang ibu kota yg di pindah mending presidenx aja pindah dari indonesia 
2185,tony rosyid ibu kota pindah ke kalimantan kenapa gak ke beijing via 
2186,biar deh ibu kota pindah ke kalimantan biar klo ada masalah ga usah demo tp langsung santet saja 
2187, buat apa ibu kota pindah biaya besar kl hanya utk ternak lele
2188,pakmen pemindahan ini sudah ditetapkan di kalimantan timur pak belum bisa diputuskan di provinsi mana yang akan dijadikan ibu kota negara menggantikan dki jakarta lhah pakmen dapat info dari mana hoax nih pak 
2189, pindah ibu kota mubazir tu ndoro masih banyak yg lebih penting selain ibu kota baru lu mubazir ndoro 
2190,ibu kota jadi pindah waktu dan tempat dipersilakan
2191, insya allah bismillah jadi lenih baik hutan kalimantan ketika ibu kota pindah 
2192,pindah ibu kota pemerintah diminta siapkan payung hukumnya 
2193, lingkungan kaltim da rusak duluan sebelum ibu kota pindah brow dan yg bikin gempa tu y kalian sendiri klw presiden bisa buat gempa brati presiden kita adalah penggendali tanah
2194,tidak pindah ibu kota juga hidup mbah moeldoko soal blokir internet dulu enggak ada juga hidup 
2195,bambang brodjonegoro boleh saya katakan ini serius sangat serius karena kita bahkan sudah menyiapkan periodisasi dari penyiapan konstruksi sampai kapan persisnya pemerintahan itu mulai pindah ke ibu kota baru 
2196, ada rencana ikut pindah ke ibu kota yg baru ga ya
2197,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2198,berita terpopuler detikfinance kamis adalah ibu kota baru indonesia pindah ke kalimantan timur kaltim dan desain ibu kota baru terungkap 
2199, mau pindah kemanapun ibu kota ini klo maksiat masih tetap jalan maka bencana demi bencna selalu ada saja 
2200,dpr pindah ibu kota kami tak pernah diajak bicara 
2201,ibu kota pindah ke kaltim weheyyy selamat mas sdh jdi anak ibu kota eh klo dosen muda masih bisa di bilang anak gaul kan ya wkwk
2202,sebelum pindah perintah beresin perampasan tanah diselesaikan dulu lah 
2203,breaking news ga masalah ibu kota pindah ke lain daerah asal jangan ibu negara pindah ke lain hati 
2204,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2205,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2206,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2207,ibu kota akan pindah ke kaltim sudah ada uangnya 
2208,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2209,hihihi tuhkan pindah ibu kota itu ngibul aja itu ga bakalan kejadian 
2210,mengerucut samboja kaltim terpilih jadi ibu kota baru ri x ditonton like dislike metrotvnews subscriber disubscribe dipublikasikan tanggal agu ibu kota ri pindah ke 
2211,ibu kota pindah ke kalimantan kenapa gak ke beijing lewat 
2212,btw gede widiade feelingnya memang kuat bosen dengan klub ibu kota yang jarang main di ibu kota dia pindah ke klub calon ibu kota indonesia yaitu persib a kalimantan timur 
2213,pemerintah akan memindahkan ibu kota dari jakarta ke kalimantan timur 
2214,ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2215, sudah saatnya ibu kota pindah 
2216,belum ada keputusan presiden soal pindah ibu kota masih menunggu satu dua kajian 
2217, yaa intinya ibu pindah itu baru wancana tahun mendatang tapi iyah ibu kota pindah di tengah kota dan anggaran gak sedikit t dan banyak yg lebih penting dari itu
2218,bantah menteri atr ibu kota pindah ke kaltim jokowi masih tunggu kajian 
2219,pindah ibu kota berarti membuka lowongan pekerjaan sarjana teknik dong ya
2220,ibu kota indinesia pernah beberapa kali pindah dari jakarta ke yogyakarta lalu ke bukittinggi dan kembali ke jakarta dan kini mau dipindah ke kalimantan 
2221,halo halo anda yg masih hidup zaman orde baru dan sekarang hidup di zaman yg penuh dgn kedunguan anda masih ingat pak harto mencanangkan ibu kota indonesia akan pindah ke jonggol kok yg gak pernah hidup di jkt malah mau pindahin ke kalimantan lu punya uang gak 
2222,sebut ibu kota akan pindah ke kaltim jokowi bantah menteri atr lokasi ibu kota baru masih tunggu kajian 
2223,ketika ibu kota pindah ke kalimantan apakah kita bisa bertemu dan berbicara santai sambil menghirup aroma kopi atau pun teh bersama 
2224,jangan takut untuk pindah ke ibu kota baru pns akan dapat rumah 
2225,mau nanya trus kalo udah pindah ibu kota mau apa 
2226,kalau akhirnya ibukota pindah ke kalimantan berarti si abang kerja di ibu kota 
2227,ibu kota pindah ke kaltim anies perekonomian jakarta jalan terus 
2228,udah jauh jauh pindah dari ibu kota eh malah disamperin sama ibu kotanya bakal jadi macet inimah balikpapan 
2229,hutang belum kebayar bahkan makin tambah hutang saya daripada pindah ibu kota lebih baik cari ibu lagi
2230,ini ibu kota jadi pindah 
2231,ibu kota jadi pindah ibu kita jadi besanan haha cuma mimpiku aja yg lebih tinggi dari monas
2232,ibu kota pindah nanti kalo udh mulai se crowded jkt pindah lagi apa ya wkwk
2233,ibu kota pindah ke kariangau
2234,pindah ke kaltim begini desain ibu kota baru 
2235, trus kalo ibu kota pindah hutang bisa berkurang bang trus ekonomi membaik
2236,ibu kota negara akan pindah ke kalimantan timur nantikan kabar pagi jumat agustus jam wib bersama putri rendra hanya di tvone streaming di tvone connect android ios 
2237,simak mengenai topik di balik impian pindah ibu kota saat ini bersama di atau streaming 
2238,ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2239,pindah ibu kota esemka 
2240,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2241, keruwetan jakarta sdh tdk bisa diatasi lagi jalan satu nya ibu kota harus pindah rocky gerung dan karni ilyas sdh punya generasi penerus nampaknya 
2242,fadli zon soal ibu kota pindah ke kaltim harusnya referendum dulu 
2243, kalimantan timur tapi lokasi spesifiknya belum kata menteri sofyan tapi pernyataannya disambut begini oleh jokowi masih nunggu kajian tinggal dua kajian belum disampaikan kepada saya tegas sang presiden 
2244, semoga slalu berbahgia walau ibu kota mo di pindah 
2245,dana trilyunan buat mindahin ibu kota mana dana ngutang mending buat alokasi kesehatan pendidikan mbok ya minta pendapat rakyat seg kalo mau pindah itu jangan slonang slonong dewek 
2246,sebut jokowi tak koordinasi dpr fahri hamzah anies baswedan tak tahu rencana ibu kota pindah 
2247, pindah ibu kota dlm kondisi ekonomi banyak utang mungkin itu ide gila yg dimaksudnya 
2248,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2249, aku takut akan apa kata sahabatku ini namanya kaka lefi kalo jadi ibu kota pindah dan masih banyak virus yg dimaksud anda bisa bkl ada dua presiden karena virus itu pasti menolaknya 
2250, nga guna lah klo pindah ibu kota klo gitu 
2251,ibu kota indinesia pernah beberapa kali pindah dari jakarta ke yogyakarta lalu ke bukittinggi dan kembali ke jakarta dan kini mau dipindah ke kalimantan 
2252,ketika ibu kota pindah ke kalimantan masalah akan berpindah dari macet ke kabut asap macet juga kalo lama gimana pendapat kalian gaes 
2253,ibu kota negara pindah ke kalimantan timur ini desainnya 
2254,presiden harus dengarkan pendapat saya ibu kota jangan pindah titik 
2255,ibukota pindah ke beijing kok gitu ya begitulah ini menggambarkan kekesalan publik thd program pindah ibukota ekonomi morat marit kok mau pindah ibukota hutang terus membengkak aset bumn sdg dipasarkan harga naik dan subsidi dicabut edan 
2256, thn gak kelar lalu presiden slanjutnya apa yakin mau nerusin apa gk malah kacau presiden joko widodo jokowi menegaskan pemilihan provinsi kalimatan timur kaltim sebagai calon ibu kota negara masih menunggu beberapa kajian lagi 
2257, utk th kedepan akan banyak perusahan² yg kecipratan proyek yg biayanya dari rakyat ini baru proyek awal selanjutnya proyek pindah ibu kota 
2258, gk yakin ibu kota negara pidah karena tuk mewujudkan mobnas aja ternyata php jadi masih yakin ibu kota negara pindah 
2259,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2260,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2261,percuma refrendum buang duit yg ada dicurangi lagi yg bener gak usah banyak acara gak sanggup atur negara mundur aja akal akalan pindah ibu kota sgala 
2262,pindah ke kalimantan timur begini ibu kota baru akan dibangun 
2263, ibu kota pindah ke kalimantan kenapa gak ke beijing 
2264, mereka yg pengen pindah ibu kota ke kalimantan org yg g punya pikirang biar negri kita d kuasai aseng
2265,ibu kota negara pindah ke kalimantan timur ini disainnya 
2266, ibu kota hanya pemerintah pusat pindah bisnis tetap di jakarta bukan para artis ikut pindah
2267,ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2268, ibu kota pindah ke kalimantan kenapa gak ke beijing 
2269,pindah ibu kota adalah kegagalan pak sebagai gubernur dan presiden 
2270, ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2271, triliyun itu duit dari pinjaman atau dari rakyat indonesia 
2272,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2273,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2274,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2275,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2276,ibu kota akan pindah ke kaltim sudah ada uangnya 
2277,media balance ibu kota pindah ke kalimantan kenapa gak ke beijing kok 
2278,sebagai warga kalimantan kok gw gak rela ya ibu kota pindah ke kalimantan timur 
2279,ibu kota negara pindah ke kalimantan timur ini desainnya 
2280,kalau saya sihh setuju ai don whot whot alias aku rapopo tapi beneran pindah gak sihh ibu kota 
2281,menurut anda gimana dan apa manfaat setelah pindah ibu kota bukan kah kita rakyat sdh tau bahwa utang indonesia sudah mencapai trilyun lebih dan biayanya dari mana buat pindah ibu kota ngutang lagikah khas negara kosong melompong brohh 
2282,ibu kota ri pindah ke kaltim jokowi masih tunggu kajian 
2283,ibu kota negara pindah ke kalimantan timur ini desainnya 
2284,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2285, ibu kota negara pindah ke kalimantan timur ini disainnya 
2286,jadi sekarang saya hidup di ibu kota 
2287,sandiaga kesejahteraan masyarakat lebih penting dibanding pindah ibu kota 
2288, bin salabim jadi apa prok prok prok ibu kota pindah jm malam
2289, yang pindah cmn ibu kota tp centra bisnis ttp jakarta lohh jgn salah pemaham an ny donk
2290,ga ada yang lebih diseriusi lagi selain wacana pindah ibu kota ya 
2291, ibu kota pindah ke kaltim begini persiapan pengusaha menteri agraria dan tata r 
2292,mau ikut pindah juga ibu kota mau pindah ke kalimantan kamu mau pindah lagi ke hati mantan 
2293, kaya orang pasar triak mulu buat stetmen pasti prosedur hukum akan di buat pindah alamat ktp ja pakai prosedur ms pindah ibu kota gak 
2294, ibu kota pindah ke kaltim begini persiapan pengusaha menteri agraria dan tata r 
2295,ibu kota pindah ke kaltim jokowi masih tunggu kajian 
2296,kalau jadi pindah ke kalimantan timur jangan ada mati lampu seharian ya apalagi mati lampu tiap hari digilir kan ibu kota negara masa remang remang
2297, sebenernya bakal pindah ibu kota gak sih 
2298, ibu kota pindah k papua boleh lah buat pemerataan 
2299,ibu kota negara pindah ke kalimantan timur ibu kota laundry pidnah ke jogja 
2300,dana pindah ibu kota lebih baik bagi rata ke semua propinsi fokus pd prioritas masing masing propinsi sesuai kebutuhan yg lebih urgent khususnya jalan jalan mutlak mulus semuanya agar mobilitas distribusi hasil bumi lancar dan cepat sampai tujuannya rakyat senang ekonomi tumbuh
2301,ibu kota pindah di kaltim lobang bekas tambang siap jadi destinasi tempat wisata hiyahiyahiya
2302, kita tunggu quotes selanjutnya setelah ibu kota pindah
2303, pindah ibu kota kok kyk gampang banget ya
2304,ibu kota pindah ke kaltim begini persiapan pengusaha 
2305,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2306, seandainya ibu kota pindah apa yang akan terjadi 
2307,menteri atr pastikan ibu kota pindah ke kaltim di mana lokasinya 
2308,watyutink sofyan djalil pastikan ibu kota pindah emil salim sebut lebih baik untuk tingkatkan pendidikan 
2309,kalau ditanya bangga nggak ibu kota di pindah ke kaltim jawabnya enggak kebanggan kami adalah hutan kalimantan itu sendiri berapa hektare lagi dari hutan kami yang harus di bebaskan untuk ibu kota baru sudah cukup hutan kami beralihfungsi menjadi perkebunan sawit 
2310,pemindahan ibu kota hanya ambisi cukong cukong pendukung jokowi utk dapt proyek lebih banyak hutang l hutang m apalagi hutang kereta cepat siapa yg lunasi kalau ibukota pindah mikir oi mikir fadli zon usul referendum pemindahan ibu kota 
2311,ibu kota pindah anak sipil banyak proyek nih
2312,udah lah nggak usah pindah ibu kota lebih baik dananya untuk me rawat infrastructure yg sudah ada jln rusak semua di perbaiki di semua propinsi agar distribusi cepat tepat waktu jln desa kabupaten propinsi tak berlobang rakyat senang biaya hidup jadi nggak mahal karena lancar 
2313, ibu kota sudah mau pindah 
2314,pindah ibu kota tidak segampang pindah kontrakan _ 
2315,wartawan bertanya ke presiden jokowi apakah benar sudah diputuskan ibu kota negara pindah ke kaltim 
2316,resmi ibu kota pindah ke kalimantan timur bahkan desain d udah siap semoga hutan tropis di sana tidak dirusak ya mari membangun ibu kota baru yang hijau 
2317,tampik soal ibu kota pindah ke kaltim jokowi masih tunggu kajian 
2318,hadeuuuh kumaha ieu ibu kota jakarta mau pindah yg deket aja saya jarang ke sna ap lagi di pindah ke kaltim lah bujuug dah kumha ieu
2319, memangnya klu ibu kota pindah berarti negara juga berobah sehingga dibutuhkan referendum 
2320,yth presiden saat pertama kali ke ntt diwawancara turunkan tulisan kini ibu kota ri pindah kaltim alangkah baiknya bangun pabrik daging di ntt biar tinggal kirim daging saja tak kirim sapi hidup keluar ntt jadi siap lapangan kerja 
2321,ibu kota akan pindah ke kaltim sudah ada uangnya 
2322,jokowi bantah pernyataan menteri atr yang sebut lokasi ibu kota pindah ke kalimantan timur via 
2323,ini ibu kota kalo pindah ke kalimantan dana pembangunan nya dari mana ya apa minjem ke cina atau emang ini proyek cina 
2324,ibu kota pindah ke kalimantan kenapa gak ke beijing 
2325, sah ibukota pindah ke kaltim selamat kaltim
2326,ibu kota ri disebut pindah ke kaltim kepala bappenas bukan di samarinda atau balikpapan 
2327,mengapa di dunia ini dah banyak yg negara yg mindahin ibu kota klo di pndng prlu mis thailand cina amerika yg penting niatnya untuk pemerataan kususnya ekonomi yg berkeadilan krn selama ini terlalu jawa sentris seharusnya th lalu dah pindah
2328, pindah ibu kota kok seperti pindah rumah atau kontrakan aja nggak semudah itu
2329,apabila ibu kota baru benar benar pindah ke kalimantan timur maka jakarta kembali ke akarnya menjadi kota bisnis dan perdagangan 
2330,ibu kota pindah ke kaltim anies pastikan bi tetap di jakarta 
2331,ibu kota rencana akan pindah di jalur yang ada tahu sumedang yang enak obat mabuk jalan darat mabuk ngga kenyang iya 
2332,apakah nafsu besar pindah ibu kota ri adalah merupakan tukar guling proyek reklamasi pantai pulau jakarta pak atau ini hanya akal an maklar proyek yg kena dampak dari para pengembang yang gagal keruk keuntungan dari reklamsi itu 
2333, apakah ini hasil studybanding ke luar negeri itu ngeri kale dilevel kota kecamatan aja seni kayak gitu gak nendang ini jkt ibu kota yg blm pindah 
2334,ibu kota pindah ke kalimantan masayarakat lokal rame rame jual tanah trus jadi kuli se umur hidup 
2335, cuma pindah ibu kota cu pusat bisnis ya tetep di jkt jd ya ga ttp macetnya 
2336, ribu pns bakal pindah ke ibu kota baru 
2337, semoga dg pindah y ibu kota indonesia menjadi raya dan gak ada demo mendemo gak ada fitnah dan adu domba
2338,yang bikin macet ya banyak aspek kepindahan ibukota adalah solusi kan kalo gk jadi presiden gk bisa pindah ibu kota toh nanti jakarta ya macet macet lagi ga sih maaf agak songong dari rakyat yang ngerasain lampu merah detik sudah dibilang macet 
2339,saya tinggal di kaltim dan saya tidak setuju ibu kota pindah ke kaltim 
2340, kek malaysia ya om ibu kota tetep kualalumpur dan pusat pemerintahannya pindah ke putrajaya 
2341,menurut dia arahan dari presiden indonesia joko widodo bahwa jakarta sebagai pusat ekonomi juga tak akan berubah 
2342,jangan takut untuk pindah ke ibu kota baru pns akan dapat rumah 
2343, lagi nunggu referendum pindah ibu kota demokratis apa feodal
2344,ibu kota pindah banyak orang orang pinter berkata hilang sudah paru paru indonesia habis lah hutan di kalimantan padahal nanem pohon aja nggak 
2345,udah pada setuju kali ya ibu kota pindah 
